ASV_ID,Domain,Phylum,Class,Order,Family,Genus,Species,Confidence
88c6578f0ae154a3cac192ec15ca4f53,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Paeniclostridium,,0.775564875
73d4125e0bf43bd57502a75296698748,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Catenisphaera,uncultured_bacterium,0.999103335
d09ec635df22ba56c704d24749a62f85,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_vulgatus,0.872596898
330422656211109bc70034bbf75c32d4,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,,0.943432205
cbbd6c6b9df90359b5e8abb167b566b9,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae_NK4A136_group,uncultured_organism,0.799893438
f9138247c10fa4392ef3501ba491d2b8,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella,,0.999999557
b6530a53838752d17f4afe0b420a4f51,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,0.999997098
af96681bc9d0ad2aa2dcd4852d279b1d,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,Clostridium_baratii,0.873111711
7a21d5522d39937594867a934ddf872a,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Romboutsia,,0.959033852
fc8b1c86c92ceeb3d3113bf48069dc0b,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,,0.999747079
0c996b0c28e73ac27d28399482d1ec3b,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Kocuria,,0.99510779
1c99cb53dc9f27b609a7b761efc53676,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,uncultured_bacterium,0.782017428
07663996e7e4356ff3a09dc90553d61c,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,F082,F082,Bacteroidales_bacterium,0.990919177
e3d6f45d55f736ae0dcb606f8a790de6,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,,0.997363816
0da26855c63fe705f7689ecd24b0bd9a,Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,,0.999999672
2ff90e381a9ba962d7a74d18ea325441,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia-Shigella,,0.954357516
66935bfbb02506d63ab759d7e503ea88,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,,0.999705047
4d7d327fa0eab27f3b68f8b903927b91,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellaceae_UCG-001,,0.999999379
bc09576bb5e43fde7b32ea7d7ad2192c,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,,0.999706335
c1819373872e4f35dd2f3b75e1c815f7,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,Megamonas,uncultured_bacterium,0.994145236
d179b7cb1c0275dbea0908b7f125b3fa,Bacteria,Firmicutes,Clostridia,Clostridia_UCG-014,Clostridia_UCG-014,Clostridia_UCG-014,uncultured_organism,0.926739944
225fa1b080d75da00ede7c6414d18992,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,0.999446869
d54ce3bf2b009f200cc9462b5952e33c,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,,0.996721163
2c1cc44c9b6f2bc268fe92214af2e970,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Plesiomonas,,0.954097345
e245fa5f37b97afdc133efc3b25a8e59,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellaceae_UCG-003,uncultured_Bacteroidales,0.773110959
288d974ce7ee2d87eca1d39e065660e8,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Plesiomonas,,0.982877988
d17eecbbf6fcb51817e138e7557d8637,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,,0.99831464
9ae855e118a75baf740fb1acc070bfc3,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidales_RF16_group,Bacteroidales_RF16_group,,0.999979873
4bf33564d59caad7e5470d5a52417d84,Bacteria,Firmicutes,Bacilli,Lactobacillales,Listeriaceae,Listeria,,0.999994331
d669be2352ff1e1fee5c79ebe16c297f,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Catenisphaera,uncultured_bacterium,0.998882029
85fa38c0263723a6c08f09c2ec7f3d51,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Ruminococcus]_gnavus_group,,0.984356236
bd2217b04c47173ad2758bb4f45c7ea9,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,,,0.999997149
2c14740df3163417c95a0b5fc099e7f2,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,,0.999753739
043943b901ee4d19a7e8ffe8290f62ea,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_fermentum,0.904861963
733486239843a600b985c72df120d009,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_vulgatus,0.875352941
a5c7066d4c6489100f28d406e370a41c,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Bisgaard_Taxon,0.962498719
d85dc5244b464ead12be95fec1a77afc,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Slackia,,0.993676471
b28873f80b74fe8e4bb759e37a1a5996,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,,0.974542315
62b224172d01a46cf82c3365cc9ffe04,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,,,0.999994735
6613c764d3ce4bffa1e57a4da9d37437,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,uncultured,uncultured,uncultured_Bacteroidales,0.9445464
c60153f899cb0ce25c46cfb00746560f,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,,0.999194333
07a104c1aac69651df5354fd2dd6f3e6,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,,,0.999994489
48051a18d55ccded033b28dabf482991,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae_RC9_gut_group,,0.999958175
89bc1639dbb7bee39d25f005bee11f32,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,,0.99998307
5f4a3f3ca0d29bb22b204b3b1259b99b,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Eubacterium]_ruminantium_group,,0.999993836
42801c5a4979af4fba0ac2093b6d2228,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,,0.999453834
c0d85fd76a8201e2fb59ada962de5f1f,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,,0.8960218
4631cc8959af4ecfc74534e2beded4c7,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Paeniclostridium,,0.737771026
41ba023ecb96aceb9dccf9b008308143,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,uncultured_Bacteroides,0.70432391
f42d92fa0f334420535534d47f3d2878,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,,0.999014818
3420b309d8c603fa4dfd5b83b25b94d5,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Romboutsia,Romboutsia_hominis,0.730149403
b61134d2b3e823fae54ea1005f31073b,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,,,0.999945141
2bde06c4bba229e027cd0785bbb39d06,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,,0.856973861
3c5f00b57e76ca759ae48da414292307,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae_XPB1014_group,uncultured_bacterium,0.792059541
dac8427566caa80ff5afe3c37b2689fb,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,,0.983128929
6e6db720e8c83955e836eabbafaa9a47,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_stercoris,0.905681932
ccb0a248d5af5a85c86bdd8efc3d9bc1,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,,0.999586936
45848d0eed0d2ce81a2bef90b18da895,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,,0.999452556
fec89e9b8682900b7736de485a80dc46,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,F082,F082,uncultured_bacterium,0.821186886
9f08cdc70c198a118472dc8fbab9f5d2,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Turicibacter,,0.999999962
b686c073db9da85561ead328cb69b51a,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellaceae_UCG-003,uncultured_bacterium,0.778544594
c430f1de947ea0d8db691ab6eae78994,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_ruminicola,0.998745152
7609505ddd64cbcf63b81193aa61d1d3,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,,,0.999986494
7e4c751b85b3dbf9a93b80caea4423b7,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,,1
109e1c26f1b81ec1a2bc959074170715,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Romboutsia,,0.926383386
9bcd609409f9c49085170728c95a77f3,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Phascolarctobacterium,uncultured_bacterium,0.890038849
0cbdc01cb199411e4aae74463b9f91fe,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Lysinibacillus,,0.996936761
fedab7c022908eee8da56f1018f7e6f5,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae_RC9_gut_group,uncultured_bacterium,0.836403243
64f82e1a6ef9acbe6f091f0f1532c028,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Turicibacter,uncultured_bacterium,0.772193571
24367356e210e164d2900a835ff7df88,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,,,0.999684751
c5b0ca3fd4409b2670a37e030b50091d,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,,,0.999998159
7d6fac4dc518206d8542999c616ea379,Bacteria,Firmicutes,Bacilli,Izemoplasmatales,Izemoplasmatales,Izemoplasmatales,,0.700880625
a37743556d4176fb34d47d99c3830e03,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,,1
e24d6a4710b6dfd7a23e84ba136cafb3,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,,0.713541532
7629a870a7070d2b1e455bb34c5ea7e6,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,F082,F082,uncultured_bacterium,0.864447902
be4ff907a087e2f60750879be884d6d5,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellaceae_UCG-004,uncultured_bacterium,0.999999604
b4f2c78e7f6dded1315f378aeb0b1265,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,UCG-005,,0.999664429
1291203880c27350babb794f14f79c94,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia-Shigella,,0.875263894
010c360227efeaf91e075735574d622e,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,0.999966771
44d6042b3e5e0054d411d039403bd3b1,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,,0.799944523
aaebdabbc51e52fe847046b4cfc5a0df,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,,0.966588441
ccc7bb4ba3e04471bbce4bfbf5e2d24f,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Turicibacter,,0.999999934
8ae1b5160a46cf0bab454694e05516aa,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Ruminococcus,,0.985190659
ea3d905bad34f37f8413f5ec47bb9246,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,,0.959340421
6fac083934ddca29c71fb9e4a323425a,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellaceae_UCG-001,,0.999571399
a72528c60d419af5160c087e24f49607,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Phascolarctobacterium,,0.999997664
461a2212dc86fefc9324db38dc4503c0,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellaceae_UCG-001,uncultured_bacterium,0.922611864
1d7626cdaab3845c43545eaec25f5946,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,,0.930549516
8a29582929a2f086cfc1044600fae54a,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,,0.837749917
2ddaf7797fadb3dbc1c516d8dea2ccf9,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,UCG-002,,0.99112071
8b1013d5de5380e5dfec9a29b9c7a1ea,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,UCG-005,,0.999389485
6b4bbc42ccd927490cb029595fd96909,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae_UCG-010,uncultured_bacterium,0.977079791
da611db2f15733e8940e4258eb919c32,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,0.998633297
74397dc7d632caf051bddc6e69fcb6f9,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,p-251-o5,p-251-o5,uncultured_bacterium,0.889965367
9e44ea9d248db9105a8eec4cc6a865ae,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,,0.999473242
1906c5a14273271084b0c6570a27e64c,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,uncultured_bacterium,0.752275444
0ae5eba8deeeb858f8b861d941f39ba8,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,0.998352769
b28f0bcccb5c39daeeabd2aac6531ebf,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,0.998728339
3e55148fa9b139d099ee6583083df338,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Phascolarctobacterium,uncultured_bacterium,0.919325089
d8825ca9632a4aad661decea61bdc155,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,,,0.999219919
ee0ec327ff061c7e889d04fb5df73fcb,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellaceae_UCG-003,,0.995641163
1515a01d67e301b95b621b8cf21298e7,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae_RC9_gut_group,uncultured_bacterium,0.843170418
2dad05ff999ca5a20acf54b8a696ac07,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,,,0.999988601
5a77440912402ccda001b21e31aae689,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,0.999988528
878bcd3900b412882f0064908a53bb17,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae_RC9_gut_group,uncultured_bacterium,0.788081347
6c557e60b746ac53c2b6b5cf5b397527,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,uncultured_bacterium,0.814924875
7f32764df5248f5651a4819e2772b789,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,UCG-005,,0.997636751
21a99ce9b0fa67589bd12a8c051f033b,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Peptoclostridium,uncultured_bacterium,0.811025182
9d04958a8b74b2e47cdbb3ebb9ae3e8c,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,p-251-o5,p-251-o5,uncultured_Bacteroidales,0.999314539
c8fec265213a8f86818b2e62c39836c4,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,,,0.999990146
d5e81aa9c0941888a4a28c0a055db3e7,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,0.999791644
bc7d1c2bf341a5ba837c65179aaae981,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_fragilis,0.933740842
4cedc07e8f0e7021f2f79d4a5428bdf1,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,UCG-005,,0.999231276
c0ad1a91866a94b07328246670c3156b,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,,0.999268763
10e471805d6db60591f5f47122549a31,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,,0.999684048
e7ee4566b6ccdf2ffd35f508f155f66c,Bacteria,Firmicutes,Clostridia,Oscillospirales,[Eubacterium]_coprostanoligenes_group,[Eubacterium]_coprostanoligenes_group,,0.999549363
feea0b2e02c08f2c8d9b7d9696ef0561,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellaceae_UCG-003,,0.787113815
ef64aeffd0c478f96ddc266be885fcf1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,uncultured,uncultured,gut_metagenome,0.917362636
020ad8fdaf7f30dd00bba66c13d2f60a,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,uncultured_bacterium,0.833823383
ed459da466750ea9c3a754c131bd8705,Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,,0.99999935
2441374ac642c330f5d077c7325f202e,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,UCG-005,,0.999444751
dd0bf824c53a4dcfc86bf44ccf7569aa,Bacteria,Firmicutes,Clostridia,Oscillospirales,Butyricicoccaceae,Butyricicoccus,Butyricicoccus_pullicaecorum,0.873389076
f5c8e033223fcc9e8b0b316103916eed,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Peptostreptococcus,uncultured_bacterium,0.958417226
6f84ed861617fcdf1aaa9a0027794c92,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,,,0.999998126
58b2027314bec46142d3da28ceb56486,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,uncultured_bacterium,0.892242698
84a1877cd69c211f83935fd2dbb36db8,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,,0.74728231
43dbe7a27da870170d4dda1e2cb920b1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,0.99937678
73ab43d8517c1c820c38fac6e076b7b3,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,uncultured_bacterium,0.804238142
c251ed51a9d662c5ba877015758376c1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,,,0.99990584
81936af441fafc45a6791acedef0cea0,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,uncultured_bacterium,0.840678847
98801756f5645475ad1131813ad0269a,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,,,0.999981907
3f1783b0cc7dc939a909fd52b98c7860,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,,,0.999066159
b669ff17476c5d5beb277a9419a076d3,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Faecalitalea,Absiella_dolichum,0.999729154
38c509bef516a0444102ae564670372f,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,,,0.99999919
2ec727d31f9eed0ad9b8a1c66f57376b,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Ruminococcus,,0.915626136
73550ced18c6029de8fbfa2fbaa4ad4c,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellaceae_UCG-004,unidentified_rumen,0.898127
12735c2cc5658744bc63ec0e438b9d3a,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae_R-7_group,,0.890291994
7c4bbcb06f6d9f86657e08505feb7d38,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Candidatus_Soleaferrea,uncultured_bacterium,0.934279112
3ccfb577cc7b3d9c24cf0ca34ec297e8,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,,0.939229932
78cda4dffce1c6753b5c263cf6b192c1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Enhydrobacter,,0.937495888
9fc93d79c9cef491d92bde0a93b645a3,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Turicibacter,uncultured_bacterium,0.702625053
2416e4a8a4b83de8874e3e047055767e,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,uncultured_bacterium,0.749929678
755fc2b5a2bc92e571179c5492670fb1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,uncultured,uncultured,uncultured_Bacteroidales,0.805426053
e9668f8bb262bb2ead0cef55d767edc5,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia,,0.952773239
61666e3ba91c2eead22807871573a78f,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellaceae_UCG-004,uncultured_bacterium,0.999999779
a0b7c1dcd685f9b5443cbdbd745b4f99,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Oscillospira,uncultured_bacterium,0.714807713
a54a2598b3a93c1f9513e9d0b1ddd46d,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum,Methylobacterium_organophilum,0.962436086
42d63cdab3918a55944ed0ad625cec88,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,,,0.999986871
c2494028d671b9e917cfde306aad0aa6,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,uncultured,uncultured_bacterium,0.77137438
16628f2e391f4f8f5e40f608091066d1,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Eubacterium]_ruminantium_group,uncultured_bacterium,0.991190913
9c3eeefab3647db256f187fa2c11a561,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadaceae,Candidatus_Saccharimonas,uncultured_bacterium,0.70099154
4865353f82305170a597740b88a34c30,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Romboutsia,,0.957776105
